"league_id","meta_type","meta_keyid","meta_value","meta_source"
5,team_name,50701,Akron Zips,the_odds_api
5,team_name,51003,Alabama Crimson Tide,the_odds_api
5,team_name,,Albany,the_odds_api
5,team_name,51101,Appalachian State Mountaineers,the_odds_api
5,team_name,50402,Arizona State Sun Devils,the_odds_api
5,team_name,50401,Arizona Wildcats,the_odds_api
5,team_name,51001,Arkansas Razorbacks,the_odds_api
5,team_name,51102,Arkansas State Red Wolves,the_odds_api
5,team_name,51002,Auburn Tigers,the_odds_api
5,team_name,50702,Ball State Cardinals,the_odds_api
5,team_name,50403,Baylor Bears,the_odds_api
5,team_name,50802,Boise State Broncos,the_odds_api
5,team_name,,Bryant Bulldogs,the_odds_api
5,team_name,50704,Buffalo Bulls,the_odds_api
5,team_name,50404,BYU Cougars,the_odds_api
5,team_name,50202,California Golden Bears,the_odds_api
5,team_name,50705,Central Michigan Chippewas,the_odds_api
5,team_name,,Charleston Southern Buccaneers,the_odds_api
5,team_name,50102,Charlotte 49ers,the_odds_api
5,team_name,50405,Cincinnati Bearcats,the_odds_api
5,team_name,50203,Clemson Tigers,the_odds_api
5,team_name,51103,Coastal Carolina Chanticleers,the_odds_api
5,team_name,50406,Colorado Buffaloes,the_odds_api
5,team_name,50803,Colorado State Rams,the_odds_api
5,team_name,50204,Duke Blue Devils,the_odds_api
5,team_name,50103,East Carolina Pirates,the_odds_api
5,team_name,50706,Eastern Michigan Eagles,the_odds_api
5,team_name,,Elon Phoenix,the_odds_api
5,team_name,50104,Florida Atlantic Owls,the_odds_api
5,team_name,51004,Florida Gators,the_odds_api
5,team_name,50205,Florida State Seminoles,the_odds_api
5,team_name,,Fresno State Bulldogs,the_odds_api
5,team_name,51015,Georgia Bulldogs,the_odds_api
5,team_name,51104,Georgia Southern Eagles,the_odds_api
5,team_name,51105,Georgia State Panthers,the_odds_api
5,team_name,50206,Georgia Tech Yellow Jackets,the_odds_api
5,team_name,50805,Hawaii Rainbow Warriors,the_odds_api
5,team_name,,Idaho State Bengals,the_odds_api
5,team_name,,Idaho Vandals,the_odds_api
5,team_name,50301,Illinois Fighting Illini,the_odds_api
5,team_name,,Illinois State Redbirds,the_odds_api
5,team_name,50302,Indiana Hoosiers,the_odds_api
5,team_name,50303,Iowa Hawkeyes,the_odds_api
5,team_name,50407,Iowa State Cyclones,the_odds_api
5,team_name,50502,Jacksonville State Gamecocks,the_odds_api
5,team_name,51106,James Madison Dukes,the_odds_api
5,team_name,50409,Kansas Jayhawks,the_odds_api
5,team_name,50408,Kansas State Wildcats,the_odds_api
5,team_name,50503,Kennesaw State Owls,the_odds_api
5,team_name,51005,Kentucky Wildcats,the_odds_api
5,team_name,50504,Liberty Flames,the_odds_api
