"league_id","yr","week_start_dt","week_end_dt","week_num","week_name","is_pre","is_post"
1,2015,2014-10-27,2014-11-03,1,Week 1,false,false
1,2015,2014-11-03,2014-11-10,2,Week 2,false,false
1,2015,2014-11-10,2014-11-17,3,Week 3,false,false
1,2015,2014-11-17,2014-11-24,4,Week 4,false,false
1,2015,2014-11-24,2014-12-01,5,Week 5,false,false
1,2015,2014-12-01,2014-12-08,6,Week 6,false,false
1,2015,2014-12-08,2014-12-15,7,Week 7,false,false
1,2015,2014-12-15,2014-12-22,8,Week 8,false,false
1,2015,2014-12-22,2014-12-29,9,Week 9,false,false
1,2015,2014-12-29,2015-01-05,10,Week 10,false,false
1,2015,2015-01-05,2015-01-12,11,Week 11,false,false
1,2015,2015-01-12,2015-01-19,12,Week 12,false,false
1,2015,2015-01-19,2015-01-26,13,Week 13,false,false
1,2015,2015-01-26,2015-02-02,14,Week 14,false,false
1,2015,2015-02-02,2015-02-09,15,Week 15,false,false
1,2015,2015-02-09,2015-02-16,16,Week 16,false,false
1,2015,2015-02-16,2015-02-23,17,Week 17,false,false
1,2015,2015-02-23,2015-03-02,18,Week 18,false,false
1,2015,2015-03-02,2015-03-09,19,Week 19,false,false
1,2015,2015-03-09,2015-03-16,20,Week 20,false,false
1,2015,2015-03-16,2015-03-23,21,Week 21,false,false
1,2015,2015-03-23,2015-03-30,22,Week 22,false,false
1,2015,2015-03-30,2015-04-06,23,Week 23,false,false
1,2015,2015-04-06,2015-04-13,24,Week 24,false,false
1,2015,2015-04-13,2015-04-20,25,Week 25,false,false
1,2015,2015-04-13,2015-04-20,1,Postseason Week 1,false,true
1,2015,2015-04-20,2015-04-27,2,Postseason Week 2,false,true
1,2015,2015-04-27,2015-05-04,3,Postseason Week 3,false,true
1,2015,2015-05-04,2015-05-11,4,Postseason Week 4,false,true
1,2015,2015-05-11,2015-05-18,5,Postseason Week 5,false,true
1,2015,2015-05-18,2015-05-25,6,Postseason Week 6,false,true
1,2015,2015-05-25,2015-06-01,7,Postseason Week 7,false,true
1,2015,2015-06-01,2015-06-08,8,Postseason Week 8,false,true
1,2015,2015-06-08,2015-06-15,9,Postseason Week 9,false,true
1,2015,2015-06-15,2015-06-22,10,Postseason Week 10,false,true
1,2015,2014-09-29,2014-10-06,1,Preseason Week 1,true,false
1,2015,2014-10-06,2014-10-13,2,Preseason Week 2,true,false
1,2015,2014-10-13,2014-10-20,3,Preseason Week 3,true,false
1,2015,2014-10-20,2014-10-27,4,Preseason Week 4,true,false
1,2016,2015-10-26,2015-11-02,1,Week 1,false,false
1,2016,2015-11-02,2015-11-09,2,Week 2,false,false
1,2016,2015-11-09,2015-11-16,3,Week 3,false,false
1,2016,2015-11-16,2015-11-23,4,Week 4,false,false
1,2016,2015-11-23,2015-11-30,5,Week 5,false,false
1,2016,2015-11-30,2015-12-07,6,Week 6,false,false
1,2016,2015-12-07,2015-12-14,7,Week 7,false,false
1,2016,2015-12-14,2015-12-21,8,Week 8,false,false
1,2016,2015-12-21,2015-12-28,9,Week 9,false,false
1,2016,2015-12-28,2016-01-04,10,Week 10,false,false
1,2016,2016-01-04,2016-01-11,11,Week 11,false,false
1,2016,2016-01-11,2016-01-18,12,Week 12,false,false
1,2016,2016-01-18,2016-01-25,13,Week 13,false,false
1,2016,2016-01-25,2016-02-01,14,Week 14,false,false
1,2016,2016-02-01,2016-02-08,15,Week 15,false,false
1,2016,2016-02-08,2016-02-15,16,Week 16,false,false
1,2016,2016-02-15,2016-02-22,17,Week 17,false,false
1,2016,2016-02-22,2016-02-29,18,Week 18,false,false
1,2016,2016-02-29,2016-03-07,19,Week 19,false,false
1,2016,2016-03-07,2016-03-14,20,Week 20,false,false
1,2016,2016-03-14,2016-03-21,21,Week 21,false,false
1,2016,2016-03-21,2016-03-28,22,Week 22,false,false
1,2016,2016-03-28,2016-04-04,23,Week 23,false,false
1,2016,2016-04-04,2016-04-11,24,Week 24,false,false
1,2016,2016-04-11,2016-04-18,25,Week 25,false,false
1,2016,2016-04-11,2016-04-18,1,Postseason Week 1,false,true
1,2016,2016-04-18,2016-04-25,2,Postseason Week 2,false,true
1,2016,2016-04-25,2016-05-02,3,Postseason Week 3,false,true
1,2016,2016-05-02,2016-05-09,4,Postseason Week 4,false,true
1,2016,2016-05-09,2016-05-16,5,Postseason Week 5,false,true
1,2016,2016-05-16,2016-05-23,6,Postseason Week 6,false,true
1,2016,2016-05-23,2016-05-30,7,Postseason Week 7,false,true
1,2016,2016-05-30,2016-06-06,8,Postseason Week 8,false,true
1,2016,2016-06-06,2016-06-13,9,Postseason Week 9,false,true
1,2016,2016-06-13,2016-06-20,10,Postseason Week 10,false,true
1,2016,2016-06-20,2016-06-27,11,Postseason Week 11,false,true
1,2016,2015-09-28,2015-10-05,1,Preseason Week 1,true,false
1,2016,2015-10-05,2015-10-12,2,Preseason Week 2,true,false
1,2016,2015-10-12,2015-10-19,3,Preseason Week 3,true,false
1,2016,2015-10-19,2015-10-26,4,Preseason Week 4,true,false
1,2017,2016-10-24,2016-10-31,1,Week 1,false,false
1,2017,2016-10-31,2016-11-07,2,Week 2,false,false
1,2017,2016-11-07,2016-11-14,3,Week 3,false,false
1,2017,2016-11-14,2016-11-21,4,Week 4,false,false
1,2017,2016-11-21,2016-11-28,5,Week 5,false,false
1,2017,2016-11-28,2016-12-05,6,Week 6,false,false
1,2017,2016-12-05,2016-12-12,7,Week 7,false,false
1,2017,2016-12-12,2016-12-19,8,Week 8,false,false
1,2017,2016-12-19,2016-12-26,9,Week 9,false,false
1,2017,2016-12-26,2017-01-02,10,Week 10,false,false
1,2017,2017-01-02,2017-01-09,11,Week 11,false,false
1,2017,2017-01-09,2017-01-16,12,Week 12,false,false
1,2017,2017-01-16,2017-01-23,13,Week 13,false,false
1,2017,2017-01-23,2017-01-30,14,Week 14,false,false
1,2017,2017-01-30,2017-02-06,15,Week 15,false,false
1,2017,2017-02-06,2017-02-13,16,Week 16,false,false
1,2017,2017-02-13,2017-02-20,17,Week 17,false,false
1,2017,2017-02-20,2017-02-27,18,Week 18,false,false
1,2017,2017-02-27,2017-03-06,19,Week 19,false,false
1,2017,2017-03-06,2017-03-13,20,Week 20,false,false
1,2017,2017-03-13,2017-03-20,21,Week 21,false,false
1,2017,2017-03-20,2017-03-27,22,Week 22,false,false
1,2017,2017-03-27,2017-04-03,23,Week 23,false,false
1,2017,2017-04-03,2017-04-10,24,Week 24,false,false
1,2017,2017-04-10,2017-04-17,25,Week 25,false,false
1,2017,2017-04-10,2017-04-17,1,Postseason Week 1,false,true
1,2017,2017-04-17,2017-04-24,2,Postseason Week 2,false,true
1,2017,2017-04-24,2017-05-01,3,Postseason Week 3,false,true
1,2017,2017-05-01,2017-05-08,4,Postseason Week 4,false,true
1,2017,2017-05-08,2017-05-15,5,Postseason Week 5,false,true
1,2017,2017-05-15,2017-05-22,6,Postseason Week 6,false,true
1,2017,2017-05-22,2017-05-29,7,Postseason Week 7,false,true
1,2017,2017-05-29,2017-06-05,8,Postseason Week 8,false,true
1,2017,2017-06-05,2017-06-12,9,Postseason Week 9,false,true
1,2017,2017-06-12,2017-06-19,10,Postseason Week 10,false,true
1,2017,2016-09-26,2016-10-03,1,Preseason Week 1,true,false
1,2017,2016-10-03,2016-10-10,2,Preseason Week 2,true,false
1,2017,2016-10-10,2016-10-17,3,Preseason Week 3,true,false
1,2017,2016-10-17,2016-10-24,4,Preseason Week 4,true,false
1,2018,2017-10-16,2017-10-23,1,Week 1,false,false
1,2018,2017-10-23,2017-10-30,2,Week 2,false,false
1,2018,2017-10-30,2017-11-06,3,Week 3,false,false
1,2018,2017-11-06,2017-11-13,4,Week 4,false,false
1,2018,2017-11-13,2017-11-20,5,Week 5,false,false
1,2018,2017-11-20,2017-11-27,6,Week 6,false,false
1,2018,2017-11-27,2017-12-04,7,Week 7,false,false
1,2018,2017-12-04,2017-12-11,8,Week 8,false,false
1,2018,2017-12-11,2017-12-18,9,Week 9,false,false
1,2018,2017-12-18,2017-12-25,10,Week 10,false,false
1,2018,2017-12-25,2018-01-01,11,Week 11,false,false
1,2018,2018-01-01,2018-01-08,12,Week 12,false,false
1,2018,2018-01-08,2018-01-15,13,Week 13,false,false
1,2018,2018-01-15,2018-01-22,14,Week 14,false,false
1,2018,2018-01-22,2018-01-29,15,Week 15,false,false
1,2018,2018-01-29,2018-02-05,16,Week 16,false,false
1,2018,2018-02-05,2018-02-12,17,Week 17,false,false
1,2018,2018-02-12,2018-02-19,18,Week 18,false,false
1,2018,2018-02-19,2018-02-26,19,Week 19,false,false
1,2018,2018-02-26,2018-03-05,20,Week 20,false,false
1,2018,2018-03-05,2018-03-12,21,Week 21,false,false
1,2018,2018-03-12,2018-03-19,22,Week 22,false,false
1,2018,2018-03-19,2018-03-26,23,Week 23,false,false
1,2018,2018-03-26,2018-04-02,24,Week 24,false,false
1,2018,2018-04-02,2018-04-09,25,Week 25,false,false
1,2018,2018-04-09,2018-04-16,26,Week 26,false,false
1,2018,2018-04-09,2018-04-16,1,Postseason Week 1,false,true
1,2018,2018-04-16,2018-04-23,2,Postseason Week 2,false,true
1,2018,2018-04-23,2018-04-30,3,Postseason Week 3,false,true
1,2018,2018-04-30,2018-05-07,4,Postseason Week 4,false,true
1,2018,2018-05-07,2018-05-14,5,Postseason Week 5,false,true
1,2018,2018-05-14,2018-05-21,6,Postseason Week 6,false,true
1,2018,2018-05-21,2018-05-28,7,Postseason Week 7,false,true
1,2018,2018-05-28,2018-06-04,8,Postseason Week 8,false,true
1,2018,2018-06-04,2018-06-11,9,Postseason Week 9,false,true
1,2018,2017-09-25,2017-10-02,1,Preseason Week 1,true,false
1,2018,2017-10-02,2017-10-09,2,Preseason Week 2,true,false
1,2018,2017-10-09,2017-10-16,3,Preseason Week 3,true,false
1,2019,2018-10-15,2018-10-22,1,Week 1,false,false
1,2019,2018-10-22,2018-10-29,2,Week 2,false,false
1,2019,2018-10-29,2018-11-05,3,Week 3,false,false
1,2019,2018-11-05,2018-11-12,4,Week 4,false,false
1,2019,2018-11-12,2018-11-19,5,Week 5,false,false
1,2019,2018-11-19,2018-11-26,6,Week 6,false,false
1,2019,2018-11-26,2018-12-03,7,Week 7,false,false
1,2019,2018-12-03,2018-12-10,8,Week 8,false,false
1,2019,2018-12-10,2018-12-17,9,Week 9,false,false
1,2019,2018-12-17,2018-12-24,10,Week 10,false,false
1,2019,2018-12-24,2018-12-31,11,Week 11,false,false
1,2019,2018-12-31,2019-01-07,12,Week 12,false,false
1,2019,2019-01-07,2019-01-14,13,Week 13,false,false
1,2019,2019-01-14,2019-01-21,14,Week 14,false,false
1,2019,2019-01-21,2019-01-28,15,Week 15,false,false
1,2019,2019-01-28,2019-02-04,16,Week 16,false,false
1,2019,2019-02-04,2019-02-11,17,Week 17,false,false
1,2019,2019-02-11,2019-02-18,18,Week 18,false,false
1,2019,2019-02-18,2019-02-25,19,Week 19,false,false
1,2019,2019-02-25,2019-03-04,20,Week 20,false,false
1,2019,2019-03-04,2019-03-11,21,Week 21,false,false
1,2019,2019-03-11,2019-03-18,22,Week 22,false,false
1,2019,2019-03-18,2019-03-25,23,Week 23,false,false
1,2019,2019-03-25,2019-04-01,24,Week 24,false,false
1,2019,2019-04-01,2019-04-08,25,Week 25,false,false
1,2019,2019-04-08,2019-04-15,26,Week 26,false,false
1,2019,2019-04-08,2019-04-15,1,Postseason Week 1,false,true
1,2019,2019-04-15,2019-04-22,2,Postseason Week 2,false,true
1,2019,2019-04-22,2019-04-29,3,Postseason Week 3,false,true
1,2019,2019-04-29,2019-05-06,4,Postseason Week 4,false,true
1,2019,2019-05-06,2019-05-13,5,Postseason Week 5,false,true
1,2019,2019-05-13,2019-05-20,6,Postseason Week 6,false,true
1,2019,2019-05-20,2019-05-27,7,Postseason Week 7,false,true
1,2019,2019-05-27,2019-06-03,8,Postseason Week 8,false,true
1,2019,2019-06-03,2019-06-10,9,Postseason Week 9,false,true
1,2019,2019-06-10,2019-06-17,10,Postseason Week 10,false,true
1,2019,2018-09-24,2018-10-01,1,Preseason Week 1,true,false
1,2019,2018-10-01,2018-10-08,2,Preseason Week 2,true,false
1,2019,2018-10-08,2018-10-15,3,Preseason Week 3,true,false
1,2020,2019-10-21,2019-10-28,1,Week 1,false,false
1,2020,2019-10-28,2019-11-04,2,Week 2,false,false
1,2020,2019-11-04,2019-11-11,3,Week 3,false,false
1,2020,2019-11-11,2019-11-18,4,Week 4,false,false
1,2020,2019-11-18,2019-11-25,5,Week 5,false,false
1,2020,2019-11-25,2019-12-02,6,Week 6,false,false
1,2020,2019-12-02,2019-12-09,7,Week 7,false,false
1,2020,2019-12-09,2019-12-16,8,Week 8,false,false
1,2020,2019-12-16,2019-12-23,9,Week 9,false,false
1,2020,2019-12-23,2019-12-30,10,Week 10,false,false
1,2020,2019-12-30,2020-01-06,11,Week 11,false,false
1,2020,2020-01-06,2020-01-13,12,Week 12,false,false
1,2020,2020-01-13,2020-01-20,13,Week 13,false,false
1,2020,2020-01-20,2020-01-27,14,Week 14,false,false
1,2020,2020-01-27,2020-02-03,15,Week 15,false,false
1,2020,2020-02-03,2020-02-10,16,Week 16,false,false
1,2020,2020-02-10,2020-02-17,17,Week 17,false,false
1,2020,2020-02-17,2020-02-24,18,Week 18,false,false
1,2020,2020-02-24,2020-03-02,19,Week 19,false,false
1,2020,2020-03-02,2020-03-09,20,Week 20,false,false
1,2020,2020-03-09,2020-03-16,21,Week 21,false,false
1,2020,2020-07-27,2020-08-03,22,Week 22,false,false
1,2020,2020-08-03,2020-08-10,23,Week 23,false,false
1,2020,2020-08-10,2020-08-17,24,Week 24,false,false
1,2020,2020-08-10,2020-08-17,1,Postseason Week 1,false,true
1,2020,2020-08-17,2020-08-24,2,Postseason Week 2,false,true
1,2020,2020-08-24,2020-08-31,3,Postseason Week 3,false,true
1,2020,2020-08-31,2020-09-07,4,Postseason Week 4,false,true
1,2020,2020-09-07,2020-09-14,5,Postseason Week 5,false,true
1,2020,2020-09-14,2020-09-21,6,Postseason Week 6,false,true
1,2020,2020-09-21,2020-09-28,7,Postseason Week 7,false,true
1,2020,2020-09-28,2020-10-05,8,Postseason Week 8,false,true
1,2020,2020-10-05,2020-10-12,9,Postseason Week 9,false,true
1,2020,2019-09-30,2019-10-07,1,Preseason Week 1,true,false
1,2020,2019-10-07,2019-10-14,2,Preseason Week 2,true,false
1,2020,2019-10-14,2019-10-21,3,Preseason Week 3,true,false
1,2022,2021-10-18,2021-10-25,1,Week 1,false,false
1,2022,2021-10-25,2021-11-01,2,Week 2,false,false
1,2022,2021-11-01,2021-11-08,3,Week 3,false,false
1,2022,2021-11-08,2021-11-15,4,Week 4,false,false
1,2022,2021-11-15,2021-11-22,5,Week 5,false,false
1,2022,2021-11-22,2021-11-29,6,Week 6,false,false
1,2022,2021-11-29,2021-12-06,7,Week 7,false,false
1,2022,2021-12-06,2021-12-13,8,Week 8,false,false
1,2022,2021-12-13,2021-12-20,9,Week 9,false,false
1,2022,2021-12-20,2021-12-27,10,Week 10,false,false
1,2022,2021-12-27,2022-01-03,11,Week 11,false,false
1,2022,2022-01-03,2022-01-10,12,Week 12,false,false
1,2022,2022-01-10,2022-01-17,13,Week 13,false,false
1,2022,2022-01-17,2022-01-24,14,Week 14,false,false
1,2022,2022-01-24,2022-01-31,15,Week 15,false,false
1,2022,2022-01-31,2022-02-07,16,Week 16,false,false
1,2022,2022-02-07,2022-02-14,17,Week 17,false,false
1,2022,2022-02-14,2022-02-21,18,Week 18,false,false
1,2022,2022-02-21,2022-02-28,19,Week 19,false,false
1,2022,2022-02-28,2022-03-07,20,Week 20,false,false
1,2022,2022-03-07,2022-03-14,21,Week 21,false,false
1,2022,2022-03-14,2022-03-21,22,Week 22,false,false
1,2022,2022-03-21,2022-03-28,23,Week 23,false,false
1,2022,2022-03-28,2022-04-04,24,Week 24,false,false
1,2022,2022-04-04,2022-04-11,25,Week 25,false,false
1,2022,2022-04-11,2022-04-18,26,Week 26,false,false
1,2022,2022-04-11,2022-04-18,1,Postseason Week 1,false,true
1,2022,2022-04-18,2022-04-25,2,Postseason Week 2,false,true
1,2022,2022-04-25,2022-05-02,3,Postseason Week 3,false,true
1,2022,2022-05-02,2022-05-09,4,Postseason Week 4,false,true
1,2022,2022-05-09,2022-05-16,5,Postseason Week 5,false,true
1,2022,2022-05-16,2022-05-23,6,Postseason Week 6,false,true
1,2022,2022-05-23,2022-05-30,7,Postseason Week 7,false,true
1,2022,2022-05-30,2022-06-06,8,Postseason Week 8,false,true
1,2022,2022-06-06,2022-06-13,9,Postseason Week 9,false,true
1,2022,2022-06-13,2022-06-20,10,Postseason Week 10,false,true
1,2022,2021-09-27,2021-10-04,1,Preseason Week 1,true,false
1,2022,2021-10-04,2021-10-11,2,Preseason Week 2,true,false
1,2022,2021-10-11,2021-10-18,3,Preseason Week 3,true,false
