team_id,league_id,abbr,team_concat,name,loc,conf,div,lat,lon,weather,town,st,mascot,color,region,category
11101,1,BOS,NBA_BOS,Boston Celtics,"Boston, MA",East,Atlantic,42.3663,-71.0622,0,Boston,MA,Celtics,Green,East,Imaginary
11102,1,BYN,NBA_BYN,Brooklyn Nets,"New York, NY",East,Atlantic,40.6827,-73.9747,0,Brooklyn,NY,Nets,Black,East,Imaginary
11103,1,NYK,NBA_NYK,New York Knicks,"New York, NY",East,Atlantic,40.7506,-73.9936,0,New York,NY,Knicks,Orange,East,Imaginary
11104,1,PHI,NBA_PHI,Philadelphia 76ers,"Philadelphia, PA",East,Atlantic,39.9011,-75.1719,0,Philadelphia,PA,76ers,Blue,East,Person
11105,1,TOR,NBA_TOR,Toronto Raptors,"Toronto, ON",East,Atlantic,43.6433,-79.3792,0,Toronto,ON,Raptors,Red,East,Bird
11201,1,CHI,NBA_CHI,Chicago Bulls,"Chicago, IL",East,Central,41.8806,-87.6742,0,Chicago,IL,Bulls,Red,Midwest,Animal
11202,1,CLE,NBA_CLE,Cleveland Cavaliers,"Cleveland, OH",East,Central,41.4964,-81.6881,0,Cleveland,OH,Cavaliers,Blue,Midwest,Person
11203,1,DET,NBA_DET,Detroit Pistons,"Detroit, MI",East,Central,42.3411,-83.055,0,Detroit,MI,Pistons,Blue,Midwest,Imaginary
11204,1,IND,NBA_IND,Indiana Pacers,"Indianapolis, IN",East,Central,39.7639,-86.1556,0,Indiana,IN,Pacers,Yellow,Midwest,Imaginary
11205,1,MIL,NBA_MIL,Milwaukee Bucks,"Milwaukee, WI",East,Central,43.0436,-87.9169,0,Milwaukee,WI,Bucks,Green,Midwest,Animal
11301,1,ATL,NBA_ATL,Atlanta Hawks,"Atlanta, GA",East,Southeast,33.7572,-84.3964,0,Atlanta,GA,Hawks,Red,South,Bird
11302,1,CHA,NBA_CHA,Charlotte Hornets,"Charlotte, NC",East,Southeast,35.225,-80.8392,0,Brooklyn,NY,Nets,Black,East,Imaginary
11303,1,MIA,NBA_MIA,Miami Heat,"Miami, FL",East,Southeast,25.7814,-80.1881,0,Miami,FL,Heat,Red,South,Imaginary
11304,1,ORL,NBA_ORL,Orlando Magic,"Orlando, FL",East,Southeast,28.5392,-81.3836,0,Orlando,FL,Magic,Blue,South,Imaginary
11305,1,WAS,NBA_WAS,Washington Wizards,"Washington, DC",East,Southeast,38.8981,-77.0208,0,Washington,DC,Wizards,Red,East,Person
12401,1,DEN,NBA_DEN,Denver Nuggets,"Denver, CO",West,Northwest,39.7486,-105.007,0,Denver,CO,Nuggets,Blue,West,Imaginary
12402,1,MIN,NBA_MIN,Minnesota Timberwolves,"Minneapolis, MN",West,Northwest,44.9794,-93.2761,0,Minnesota,MN,Timberwolves,Blue,Midwest,Dog
12403,1,OKC,NBA_OKC,Oklahoma City Thunder,"Oklahoma City, OK",West,Northwest,35.4633,-97.515,0,Oklahoma,OK,Thunder,Blue,South,Imaginary
12404,1,POR,NBA_POR,Portland Trail Blazers,"Portland, OR",West,Northwest,45.5317,-122.667,0,Portland,OR,Trail Blazers,Red,West,Imaginary
12405,1,UTA,NBA_UTA,Utah Jazz,"Salt Lake City, UT",West,Northwest,40.7683,-111.901,0,Salt Lake City,UT,Jazz,Yellow,West,Imaginary
12501,1,GSW,NBA_GSW,Golden State Warriors,"San Francisco, CA",West,Pacific,37.7681,-122.387,0,Golden,CA,Warriors,Yellow,West,Person
12502,1,LAC,NBA_LAC,Los Angeles Clippers,"Inglewood, CA",West,Pacific,33.9451,-118.343,0,Inglewood,CA,Clippers,Blue,West,Imaginary
12503,1,LAL,NBA_LAL,Los Angeles Lakers,"Los Angeles, CA",West,Pacific,34.0431,-118.267,0,Los Angeles,CA,Lakers,Yellow,West,Imaginary
12504,1,PHX,NBA_PHX,Phoenix Suns,"Phoenix, AZ",West,Pacific,33.4458,-112.071,0,Phoenix,AZ,Suns,Black,West,Imaginary
12505,1,SAC,NBA_SAC,Sacramento Kings,"Sacramento, CA",West,Pacific,38.6492,-121.518,0,Sacramento,CA,Kings,Black,West,Person
12601,1,DAL,NBA_DAL,Dallas Mavericks,"Dallas, TX",West,Southwest,32.7906,-96.8103,0,Dallas,TX,Mavericks,Blue,South,Person
12602,1,HOU,NBA_HOU,Houston Rockets,"Houston, TX",West,Southwest,29.7508,-95.3622,0,Houston,TX,Rockets,Red,South,Imaginary
12603,1,MEM,NBA_MEM,Memphis Grizzlies,"Memphis, TN",West,Southwest,35.1383,-90.0506,0,Memphis,TN,Grizzlies,Blue,South,Animal
12604,1,NOP,NBA_NOP,New Orleans Pelicans,"New Orleans, LA",West,Southwest,29.9489,-90.0819,0,New Orleans,LA,Pelicans,Blue,South,Bird
12605,1,SAN,NBA_SAN,San Antonio Spurs,"San Antonio, TX",West,Southwest,29.4269,-98.4375,0,San Antonio,TX,Spurs,Black,South,Imaginary
21101,2,BUF,NFL_BUF,Buffalo Bills,"Orchard Park, NY",AFC,East,42.774,-78.787,1,Orchard Park,NY,Bills,Blue,East,Animal
21102,2,MIA,NFL_MIA,Miami Dolphins,"Miami, FL",AFC,East,25.958,-80.2393,1,Miami,FL,Dolphins,Blue,South,Animal
21103,2,NE,NFL_NE,New England Patriots,"Foxborough, MA",AFC,East,42.091,-71.264,1,Foxborough,MA,Patriots,Blue,East,Person
21104,2,NYJ,NFL_NYJ,New York Jets,"East Rutherford, NJ",AFC,East,40.4849,-74.4277,1,East Rutherford,NJ,Jets,Green,East,Imaginary
21201,2,BAL,NFL_BAL,Baltimore Ravens,"Baltimore, MD",AFC,North,39.164,-76.3722,1,Baltimore,MD,Ravens,Purple,East,Bird
21202,2,CIN,NFL_CIN,Cincinnati Bengals,"Cincinnati, OH",AFC,North,39.095,-84.516,1,Cincinnati,OH,Bengals,Orange,Midwest,Cat
21203,2,CLE,NFL_CLE,Cleveland Browns,"Cleveland, OH",AFC,North,41.3022,-81.4158,1,Cleveland,OH,Browns,Brown,Midwest,Color
21204,2,PIT,NFL_PIT,Pittsburgh Steelers,"Pittsburgh, PA",AFC,North,40.2648,-80.057,1,Pittsburgh,PA,Steelers,Black,East,Imaginary
21301,2,HOU,NFL_HOU,Houston Texans,"Houston, TX",AFC,South,9.415,-95.2439,0,Houston,TX,Texans,Red,South,Imaginary
21302,2,IND,NFL_IND,Indianapolis Colts,"Indianapolis, IN",AFC,South,39.4536,-86.9497,0,Indianapolis,IN,Colts,Blue,Midwest,Animal
21303,2,JAX,NFL_JAX,Jacksonville Jaguars,"Jacksonville, FL",AFC,South,30.1926,-81.3815,1,Jacksonville,FL,Jaguars,Black,South,Cat
21304,2,TEN,NFL_TEN,Tennessee Titans,"Nashville, TN",AFC,South,36.959,-86.4617,1,Nashville,TN,Titans,Blue,South,Imaginary
21401,2,DEN,NFL_DEN,Denver Broncos,"Denver, CO",AFC,West,39.4438,-105.112,1,Denver,CO,Broncos,Blue,West,Animal
21402,2,KC,NFL_KC,Kansas City Chiefs,"Kansas City, MO",AFC,West,39.256,-94.292,1,Kansas City,MO,Chiefs,Red,Midwest,Person
21403,2,LV,NFL_LV,Las Vegas Raiders,"Paradise, NV",AFC,West,36.0526,-115.112,0,Las Vegas,NV,Raiders,Black,West,Person
21404,2,LAC,NFL_LAC,Los Angeles Chargers,"Inglewood, CA",AFC,West,33.953,-118.339,1,Inglewood,CA,Chargers,Blue,West,Imaginary
22501,2,DAL,NFL_DAL,Dallas Cowboys,"Arlington, TX",NFC,East,32.4452,-97.534,0,Arlington,TX,Cowboys,Blue,South,Person
22502,2,NYG,NFL_NYG,New York Giants,"East Rutherford, NJ",NFC,East,40.4849,-74.4277,1,East Rutherford,NJ,Giants,Blue,East,Imaginary
22503,2,PHI,NFL_PHI,Philadelphia Eagles,"Philadelphia, PA",NFC,East,39.543,-75.103,1,Philadelphia,PA,Eagles,Green,East,Bird
22504,2,WAS,NFL_WAS,Washington Commanders,"Landover, MD",NFC,East,38.5428,-76.5152,1,Landover,MD,Commanders,Red,East,Person
22601,2,CHI,NFL_CHI,Chicago Bears,"Chicago, IL",NFC,North,41.8623,-87.6167,1,Chicago,IL,Bears,Blue,Midwest,Animal
22602,2,DET,NFL_DET,Detroit Lions,"Detroit, MI",NFC,North,42.2024,-83.244,0,Detroit,MI,Lions,Blue,Midwest,Cat
22603,2,GB,NFL_GB,Green Bay Packers,"Green Bay, WI",NFC,North,44.305,-88.344,1,Green Bay,WI,Packers,Green,Midwest,Imaginary
22604,2,MIN,NFL_MIN,Minnesota Vikings,"Minneapolis, MN",NFC,North,44.974,-93.258,0,Minneapolis,MN,Vikings,Purple,Midwest,Person
22701,2,ATL,NFL_ATL,Atlanta Falcons,"Atlanta, GA",NFC,South,33.452,-84.24,0,Atlanta,GA,Falcons,Red,South,Bird
22702,2,CAR,NFL_CAR,Carolina Panthers,"Charlotte, NC",NFC,South,35.1333,-80.511,1,Charlotte,NC,Panthers,Blue,East,Cat
22703,2,NO,NFL_NO,New Orleans Saints,"New Orleans, LA",NFC,South,29.573,-90.452,0,New Orleans,LA,Saints,Black,South,Person
