id,season,gameDate,startTimeUTC,gamePeriod,awayTeamAbbr,awayTeamScore,homeTeamAbbr,homeTeamScore,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
2011030111,20112012,2012-04-12,2012-04-12T23:00:00Z,REG,OTT,2,NYR,4,1,2,1,0,0,0,0,2,0,1
2011030112,20112012,2012-04-14,2012-04-14T23:00:00Z,OT,OTT,3,NYR,2,1,0,1,0,0,0,1,1,1,1
2011030113,20112012,2012-04-16,2012-04-16T23:30:00Z,REG,NYR,1,OTT,0,0,0,0,0,0,0,0,1,0,1
2011030114,20112012,2012-04-18,2012-04-18T23:30:00Z,OT,NYR,2,OTT,3,0,2,0,1,0,2,0,0,0,1
2011030115,20112012,2012-04-21,2012-04-21T23:00:00Z,REG,OTT,2,NYR,0,0,0,0,0,0,1,0,1,0,1
2011030116,20112012,2012-04-23,2012-04-23T23:00:00Z,REG,NYR,3,OTT,2,1,0,1,0,0,0,3,0,0,1
2011030117,20112012,2012-04-26,2012-04-26T23:00:00Z,REG,OTT,1,NYR,2,0,2,0,0,0,0,1,0,0,1
2011030121,20112012,2012-04-12,2012-04-12T23:30:00Z,OT,WSH,0,BOS,1,0,0,0,1,0,0,0,0,0,1
2011030122,20112012,2012-04-14,2012-04-14T19:00:00Z,OT,WSH,2,BOS,1,0,0,1,0,0,0,1,0,0,1
2011030123,20112012,2012-04-16,2012-04-16T23:30:00Z,REG,BOS,4,WSH,3,1,1,1,0,0,0,2,2,0,1
2011030124,20112012,2012-04-19,2012-04-19T23:30:00Z,REG,BOS,1,WSH,2,1,1,0,0,0,1,0,0,0,1
2011030125,20112012,2012-04-21,2012-04-21T19:00:00Z,REG,WSH,4,BOS,3,0,2,1,0,0,0,2,2,0,1
2011030126,20112012,2012-04-22,2012-04-22T19:00:00Z,OT,BOS,4,WSH,3,1,1,1,0,0,2,0,1,1,1
2011030127,20112012,2012-04-25,2012-04-25T23:30:00Z,OT,WSH,2,BOS,1,0,1,0,0,0,1,0,0,1,1
2011030131,20112012,2012-04-13,2012-04-13T23:00:00Z,REG,NJD,3,FLA,2,0,2,0,0,0,3,0,0,0,1
2011030132,20112012,2012-04-15,2012-04-15T23:30:00Z,REG,NJD,2,FLA,4,1,2,1,0,0,0,0,2,0,1
2011030133,20112012,2012-04-17,2012-04-17T23:00:00Z,REG,FLA,4,NJD,3,3,0,0,0,0,2,2,0,0,1
2011030134,20112012,2012-04-19,2012-04-19T23:00:00Z,REG,FLA,0,NJD,4,0,1,3,0,0,0,0,0,0,1
2011030135,20112012,2012-04-21,2012-04-21T22:30:00Z,REG,NJD,0,FLA,3,0,1,2,0,0,0,0,0,0,1
2011030136,20112012,2012-04-24,2012-04-24T23:30:00Z,OT,FLA,2,NJD,3,1,1,0,1,0,0,2,0,0,1
2011030137,20112012,2012-04-26,2012-04-27T00:30:00Z,OT,NJD,3,FLA,2,0,0,2,0,0,1,1,0,0,1
2011030141,20112012,2012-04-11,2012-04-11T23:30:00Z,OT,PHI,4,PIT,3,3,0,0,0,0,0,1,2,1,1
2011030142,20112012,2012-04-13,2012-04-13T23:30:00Z,REG,PHI,8,PIT,5,3,1,1,0,0,1,3,4,0,1
2011030143,20112012,2012-04-15,2012-04-15T19:00:00Z,REG,PIT,4,PHI,8,4,2,2,0,0,2,2,0,0,1
2011030144,20112012,2012-04-18,2012-04-18T23:30:00Z,REG,PIT,10,PHI,3,3,0,0,0,0,4,5,1,0,1
2011030145,20112012,2012-04-20,2012-04-20T23:30:00Z,REG,PHI,2,PIT,3,1,2,0,0,0,2,0,0,0,1
2011030146,20112012,2012-04-22,2012-04-22T16:00:00Z,REG,PIT,1,PHI,5,2,2,1,0,0,0,1,0,0,1
2011030151,20112012,2012-04-11,2012-04-12T02:30:00Z,REG,LAK,4,VAN,2,1,1,0,0,0,1,1,2,0,1
2011030152,20112012,2012-04-13,2012-04-14T02:00:00Z,REG,LAK,4,VAN,2,0,1,1,0,0,1,1,2,0,1
2011030153,20112012,2012-04-15,2012-04-16T02:30:00Z,REG,VAN,0,LAK,1,0,0,1,0,0,0,0,0,0,1
2011030154,20112012,2012-04-18,2012-04-19T02:00:00Z,REG,VAN,3,LAK,1,1,0,0,0,0,0,2,1,0,1
