"SEASON_ID","LEAGUE_ID","YR_VAR","SEASON_CONCAT","PRE_DT","REG_START_DT","REG_END_DT","POST_START_DT","CHAMP_SERIES_START_DT","CHAMP_DT","YR","INSERT_DT"
102024,1,"2024",NBA_2024,,2023-10-25,2024-04-14,2024-04-20,,2024-06-06,2024,2025-02-02 13:05:17.985
102022,1,"2022",NBA_2022,,2021-10-19,2022-04-10,2022-04-16,,2022-06-02,2022,2025-02-02 13:05:17.985
102021,1,"2021",NBA_2021,,2020-12-22,2021-05-21,2021-05-22,,2021-06-06,2021,2025-02-02 13:05:17.985
102020,1,"2020",NBA_2020,,2019-10-24,2020-03-10,2020-08-17,,2020-09-30,2020,2025-02-02 13:05:17.985
102019,1,"2019",NBA_2019,,2018-10-16,2019-04-10,2019-04-13,,2019-05-30,2019,2025-02-02 13:05:17.985
102018,1,"2018",NBA_2018,,2017-10-17,2018-04-10,2018-04-14,,2018-05-31,2018,2025-02-02 13:05:17.985
102017,1,"2017",NBA_2017,,2016-10-25,2017-04-12,2017-04-16,,2017-06-01,2017,2025-02-02 13:05:17.985
102016,1,"2016",NBA_2016,,2015-10-27,2016-04-13,2016-04-16,,2016-06-02,2016,2025-02-02 13:05:17.985
102015,1,"2015",NBA_2015,,2014-10-29,2015-04-15,2015-04-18,,2015-06-04,2015,2025-02-02 13:05:17.985
102014,1,"2014",NBA_2014,,2013-10-30,2014-04-16,2014-04-19,,2014-06-05,2014,2025-02-02 13:05:17.985
102013,1,"2013",NBA_2013,,2012-10-31,2013-04-17,2013-04-20,,2013-06-06,2013,2025-02-02 13:05:17.985
102012,1,"2012",NBA_2012,,2011-12-25,2012-04-26,2012-04-28,,2012-06-12,2012,2025-02-02 13:05:17.985
102011,1,"2011",NBA_2011,,2010-10-27,2011-04-13,2011-04-16,,2011-05-31,2011,2025-02-02 13:05:17.985
202023,2,"2023",NFL_2023,,2023-09-07,2024-01-07,2024-01-13,,2024-02-11,2023,2025-02-02 13:05:17.985
202021,2,"2021",NFL_2021,,2021-09-09,2022-01-09,2022-01-15,,2022-02-13,2021,2025-02-02 13:05:17.985
202024,2,"2024",NFL_2024,,2024-09-05,2025-01-05,2025-01-11,,2025-02-09,2024,2025-02-02 13:05:17.985
202019,2,"2019",NFL_2019,,2019-09-05,2019-12-29,2020-01-04,,2020-02-02,2019,2025-02-02 13:05:17.985
202018,2,"2018",NFL_2018,,2018-09-06,2018-12-30,2019-01-05,,2019-02-03,2018,2025-02-02 13:05:17.985
202017,2,"2017",NFL_2017,,2017-09-07,2017-12-31,2018-01-06,,2018-02-04,2017,2025-02-02 13:05:17.985
202016,2,"2016",NFL_2016,,2016-09-08,2017-01-01,2017-01-07,,2017-02-05,2016,2025-02-02 13:05:17.985
202014,2,"2014",NFL_2014,,2014-09-04,2014-12-28,2015-01-03,,2015-02-01,2014,2025-02-02 13:05:17.985
202013,2,"2013",NFL_2013,,2013-09-05,2013-12-29,2014-01-04,,2014-02-02,2013,2025-02-02 13:05:17.985
202012,2,"2012",NFL_2012,,2012-09-05,2012-12-30,2013-01-05,,2013-02-03,2012,2025-02-02 13:05:17.985
302024,3,"2024",NHL_2024,,2023-10-10,2024-04-18,2024-04-20,,2024-06-08,2024,2025-02-02 13:05:17.985
